2025-02-20 15:53:46.351 | INFO     | utils.utils_logger:<module>:43 - Logging to file: logs\project_log.log
2025-02-20 15:53:46.353 | INFO     | __main__:<module>:53 - Project root: C:\Projects\custom-06-valjohnson
2025-02-20 15:53:46.354 | INFO     | __main__:<module>:57 - Data folder: C:\Projects\custom-06-valjohnson\data
2025-02-20 15:53:46.354 | INFO     | __main__:<module>:61 - Data file: C:\Projects\custom-06-valjohnson\data\inventory_data.csv
2025-02-20 15:53:46.355 | INFO     | __main__:main:122 - START producer.
2025-02-20 15:53:46.355 | INFO     | utils.utils_config:get_zookeeper_address:44 - ZOOKEEPER_ADDRESS: Localhost:2181
2025-02-20 15:53:46.375 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:47 - Zookeeper is ready at Localhost:2181.
2025-02-20 15:53:46.377 | INFO     | utils.utils_config:get_kafka_broker_address:51 - KAFKA_BROKER_ADDRESS: Localhost:9092
2025-02-20 15:53:46.721 | INFO     | utils.utils_producer:check_kafka_service_is_ready:66 - Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1001, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'kiGpAmZ5Q0ySE1HgPrMgpw', 'controller_id': 1001}
2025-02-20 15:53:46.722 | INFO     | __main__:get_kafka_topic:35 - Kafka topic: inventory_topic
2025-02-20 15:53:46.723 | INFO     | __main__:get_message_interval:42 - Message interval: 2 seconds
2025-02-20 15:53:46.724 | INFO     | utils.utils_config:get_kafka_broker_address:51 - KAFKA_BROKER_ADDRESS: Localhost:9092
2025-02-20 15:53:46.725 | INFO     | utils.utils_producer:create_kafka_producer:119 - Connecting to Kafka broker at Localhost:9092...
2025-02-20 15:53:46.842 | INFO     | utils.utils_producer:create_kafka_producer:124 - Kafka producer successfully created.
2025-02-20 15:53:46.843 | INFO     | utils.utils_config:get_kafka_broker_address:51 - KAFKA_BROKER_ADDRESS: Localhost:9092
2025-02-20 15:53:47.181 | INFO     | utils.utils_producer:create_kafka_topic:154 - Creating 'inventory_topic'.
2025-02-20 15:53:47.424 | INFO     | utils.utils_producer:create_kafka_topic:159 - Topic 'inventory_topic' created successfully.
2025-02-20 15:53:47.426 | INFO     | __main__:main:145 - Kafka topic 'inventory_topic' is ready.
2025-02-20 15:53:47.427 | INFO     | __main__:main:151 - Starting message production to topic 'inventory_topic'...
2025-02-20 15:53:47.428 | INFO     | __main__:generate_messages:80 - Opening data file in read mode: C:\Projects\custom-06-valjohnson\data\inventory_data.csv
2025-02-20 15:53:47.429 | INFO     | __main__:generate_messages:82 - Reading data from file: C:\Projects\custom-06-valjohnson\data\inventory_data.csv
2025-02-20 15:53:47.431 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-10-29 11:55:28', 'Item name': 'Earrings', 'Inventory level': '201'}
2025-02-20 15:53:47.432 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-10-01 23:09:43', 'Item name': 'Earrings', 'Inventory level': '241'}
2025-02-20 15:53:47.433 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-09-08 14:35:59', 'Item name': 'Badge Toppers', 'Inventory level': '331'}
2025-02-20 15:53:47.434 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-01-07 16:43:38', 'Item name': 'Earrings', 'Inventory level': '496'}
2025-02-20 15:53:47.435 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-10-19 03:19:40', 'Item name': 'Badge Toppers', 'Inventory level': '452'}
2025-02-20 15:53:47.436 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-11-18 21:31:03', 'Item name': 'Badge Toppers', 'Inventory level': '252'}
2025-02-20 15:53:47.436 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-11-06 23:58:53', 'Item name': 'Magnets', 'Inventory level': '83'}
2025-02-20 15:53:47.437 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-11-14 17:42:39', 'Item name': 'Magnets', 'Inventory level': '96'}
2025-02-20 15:53:47.438 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-11-18 22:10:21', 'Item name': 'Lanyards', 'Inventory level': '195'}
2025-02-20 15:53:47.439 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-06-10 23:04:05', 'Item name': 'Earrings', 'Inventory level': '428'}
2025-02-20 15:53:47.440 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-07-25 11:16:19', 'Item name': 'Badge Toppers', 'Inventory level': '274'}
2025-02-20 15:53:47.442 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-12-06 07:27:23', 'Item name': 'Magnets', 'Inventory level': '65'}
2025-02-20 15:53:47.443 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-04-06 12:45:49', 'Item name': 'Acrylic Blanks', 'Inventory level': '60'}
2025-02-20 15:53:47.444 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-04-05 21:00:14', 'Item name': 'Acrylic Blanks', 'Inventory level': '272'}
2025-02-20 15:53:47.445 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-03-14 21:29:04', 'Item name': 'Badge Toppers', 'Inventory level': '85'}
2025-02-20 15:53:47.445 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-03-25 05:17:10', 'Item name': 'Badge Toppers', 'Inventory level': '157'}
2025-02-20 15:53:47.446 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-10-17 23:00:18', 'Item name': 'Earrings', 'Inventory level': '377'}
2025-02-20 15:53:47.447 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-08-25 11:23:11', 'Item name': 'Lanyards', 'Inventory level': '66'}
2025-02-20 15:53:47.448 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-03-08 00:58:19', 'Item name': 'Earrings', 'Inventory level': '250'}
2025-02-20 15:53:47.449 | ERROR    | __main__:generate_messages:88 - Missing required column in row: {'timestamp': '2024-02-02 10:48:52', 'Item name': 'Badge Toppers', 'Inventory level': '5'}
